id,name,category,brand,price,currency,on_sale,in_stock,type,image_file,permalink
9672,3D Flow Stem With Airport For Dynavap,ACCESSORIES,,19.95,AUD,false,true,variable,images/3d-flow-stem-with-airport-for-dynavap-2.jpg,https://aussievapemart.com.au/product/3d-flow-stem-with-airport-for-dynavap-2/
9671,3D Flow Stem for Dynavap (75mm),ACCESSORIES,,19.95,AUD,false,true,variable,images/3d-flow-stem-for-dynavap-75mm-2.jpg,https://aussievapemart.com.au/product/3d-flow-stem-for-dynavap-75mm-2/
9670,3D Flow Stem for Dynavap (60mm),ACCESSORIES,,19.95,AUD,false,true,variable,images/3d-flow-stem-for-dynavap-60mm-2.jpg,https://aussievapemart.com.au/product/3d-flow-stem-for-dynavap-60mm-2/
9669,DynaKit &#8211; Basic Titanium,ACCESSORIES,,39.95,AUD,false,true,simple,images/dynakit-basic-titanium-2.jpg,https://aussievapemart.com.au/product/dynakit-basic-titanium-2/
9668,DynaKit &#8211; Basic Stainless,ACCESSORIES,,32,AUD,false,true,simple,images/dynakit-basic-stainless-2.jpg,https://aussievapemart.com.au/product/dynakit-basic-stainless-2/
9667,Green DynaVap Storage Tube,ACCESSORIES,,3,AUD,false,true,simple,images/green-dynavap-storage-tube-2.jpg,https://aussievapemart.com.au/product/green-dynavap-storage-tube-2/
9666,DynaKit &#8211; Maintenance,ACCESSORIES,,14.95,AUD,false,true,simple,images/dynakit-maintenance-2.jpg,https://aussievapemart.com.au/product/dynakit-maintenance-2/
9665,Omni Condenser Assembly W/ Mouthpiece,ACCESSORIES,,120,AUD,false,true,simple,images/omni-condenser-assembly-w-mouthpiece-2.jpg,https://aussievapemart.com.au/product/omni-condenser-assembly-w-mouthpiece-2/
9664,Standard Titanium Condenser W/ O-Rings,ACCESSORIES,,16.95,AUD,false,true,simple,images/standard-titanium-condenser-w-o-rings-2.jpg,https://aussievapemart.com.au/product/standard-titanium-condenser-w-o-rings-2/
9663,XL Titanium Condenser W/ O-Rings,ACCESSORIES,,16.95,AUD,false,true,simple,images/xl-titanium-condenser-w-o-rings-2.jpg,https://aussievapemart.com.au/product/xl-titanium-condenser-w-o-rings-2/
9662,Standard Condenser Kit W/ Light Wood Spinning Mouthpiece,ACCESSORIES,,38.95,AUD,false,true,simple,images/standard-condenser-kit-w-light-wood-spinning-mouthpiece-2.jpg,https://aussievapemart.com.au/product/standard-condenser-kit-w-light-wood-spinning-mouthpiece-2/
9661,Standard Condenser Kit W/ Walnut Spinning Mouthpiece,ACCESSORIES,,38.95,AUD,false,true,simple,images/standard-condenser-kit-w-walnut-spinning-mouthpiece-2.jpg,https://aussievapemart.com.au/product/standard-condenser-kit-w-walnut-spinning-mouthpiece-2/
9659,XL Condenser Kit W/ Walnut Spinning Mouthpiece,ACCESSORIES,,38.95,AUD,false,true,simple,images/xl-condenser-kit-w-walnut-spinning-mouthpiece-2.jpg,https://aussievapemart.com.au/product/xl-condenser-kit-w-walnut-spinning-mouthpiece-2/
9658,Light Wood Spinning Mouthpiece,ACCESSORIES,,22.95,AUD,false,true,simple,images/light-wood-spinning-mouthpiece-2.jpg,https://aussievapemart.com.au/product/light-wood-spinning-mouthpiece-2/
9657,Dark Wood Spinning Mouthpiece,ACCESSORIES,,22.95,AUD,false,true,simple,images/dark-wood-spinning-mouthpiece-2.jpg,https://aussievapemart.com.au/product/dark-wood-spinning-mouthpiece-2/
9656,Titanium Spinning Mouthpiece,ACCESSORIES,,40.5,AUD,false,true,simple,images/titanium-spinning-mouthpiece-2.jpg,https://aussievapemart.com.au/product/titanium-spinning-mouthpiece-2/
9655,NonaVong Body | 45mm Light Wood,ACCESSORIES,,46.5,AUD,false,true,simple,images/nonavong-body-45mm-light-wood-2.jpg,https://aussievapemart.com.au/product/nonavong-body-45mm-light-wood-2/
9654,The BB9 &#8211; Grey or Pink,ACCESSORIES,,47.95,AUD,false,true,variable,images/the-bb9-grey-or-pink-2.jpg,https://aussievapemart.com.au/product/the-bb9-grey-or-pink-2/
9653,The BB6,ACCESSORIES,,45.95,AUD,false,true,variable,images/the-bb6-2.jpg,https://aussievapemart.com.au/product/the-bb6-2/
9652,Bonger Water Pipe Adaptor,ACCESSORIES,,23.95,AUD,false,true,variable,images/bonger-water-pipe-adaptor-2.jpg,https://aussievapemart.com.au/product/bonger-water-pipe-adaptor-2/
9651,Titanium OMNI Tip by DynaVap,ACCESSORIES,,86,AUD,false,true,simple,images/titanium-omni-tip-by-dynavap-2.jpg,https://aussievapemart.com.au/product/titanium-omni-tip-by-dynavap-2/
9650,Titanium VonG Tip by DynaVap,ACCESSORIES,,78,AUD,false,true,simple,images/titanium-vong-tip-by-dynavap-2.jpg,https://aussievapemart.com.au/product/titanium-vong-tip-by-dynavap-2/
9649,2021 Stainless Steel Tip by DynaVap,ACCESSORIES,,42,AUD,false,true,simple,images/2021-stainless-steel-tip-by-dynavap-2.jpg,https://aussievapemart.com.au/product/2021-stainless-steel-tip-by-dynavap-2/
9648,Helix Titanium Tip by Dynavap,ACCESSORIES,,92.5,AUD,false,true,simple,images/helix-titanium-tip-by-dynavap-2.jpg,https://aussievapemart.com.au/product/helix-titanium-tip-by-dynavap-2/
9647,DynaCoil Titanium Kit,ACCESSORIES,,89,AUD,false,true,simple,images/dynacoil-titanium-kit-2.jpg,https://aussievapemart.com.au/product/dynacoil-titanium-kit-2/
9646,DynaCoil,ACCESSORIES,,39,AUD,false,true,simple,images/dynacoil-2.jpg,https://aussievapemart.com.au/product/dynacoil-2/
9623,The Armored Cap,ACCESSORIES,,61.85,AUD,false,true,simple,images/the-armored-cap-2.jpg,https://aussievapemart.com.au/product/the-armored-cap-2/
9622,Captive Cap by DynaVap,ACCESSORIES,,39.95,AUD,false,true,simple,images/captive-cap-by-dynavap-2.jpg,https://aussievapemart.com.au/product/captive-cap-by-dynavap-2/
9621,The Ballr Cap by Dynavap,ACCESSORIES,,79.95,AUD,false,true,simple,images/the-ballr-cap-by-dynavap-2.jpg,https://aussievapemart.com.au/product/the-ballr-cap-by-dynavap-2/
9620,Fat Mouthpiece,ACCESSORIES,,3.25,AUD,false,true,simple,images/fat-mouthpiece-2.jpg,https://aussievapemart.com.au/product/fat-mouthpiece-2/
9619,NonaVong-S Light Wood,ACCESSORIES,,149.95,AUD,false,true,simple,images/nonavong-s-light-wood-2.jpg,https://aussievapemart.com.au/product/nonavong-s-light-wood-2/
9618,OmniVong Light Wood,ACCESSORIES,,219.95,AUD,false,true,simple,images/omnivong-light-wood-2.jpg,https://aussievapemart.com.au/product/omnivong-light-wood-2/
9617,The 2020 &#8220;M&#8221; PhantoM,ACCESSORIES,,114.95,AUD,false,true,simple,images/the-2020-m-phantom-2.jpg,https://aussievapemart.com.au/product/the-2020-m-phantom-2/
9616,THE OMNI Flame Powered Extraction Device,ACCESSORIES,,289.95,AUD,false,true,simple,images/the-omni-flame-powered-extraction-device-2.jpg,https://aussievapemart.com.au/product/the-omni-flame-powered-extraction-device-2/
9615,WoodWynd Flame Powered Extraction Device (Padauk),ACCESSORIES,,246.95,AUD,false,true,simple,images/woodwynd-flame-powered-extraction-device-padauk-2.jpg,https://aussievapemart.com.au/product/woodwynd-flame-powered-extraction-device-padauk-2/
9614,VONG (I) Titanium Flame Powered Extraction Device,ACCESSORIES,,219.95,AUD,true,true,simple,images/vong-i-titanium-flame-powered-extraction-device-2.jpg,https://aussievapemart.com.au/product/vong-i-titanium-flame-powered-extraction-device-2/
9613,The 2020 &#8220;M&#8221; Flame Powered Extraction Device,ACCESSORIES,,91.9,AUD,false,true,simple,images/the-2020-m-flame-powered-extraction-device-2.jpg,https://aussievapemart.com.au/product/the-2020-m-flame-powered-extraction-device-2/
9612,THE &#8220;M&#8221; 2021 EDITION,ACCESSORIES,,117.95,AUD,false,true,simple,images/the-m-2021-edition-2.jpg,https://aussievapemart.com.au/product/the-m-2021-edition-2/
9611,Titanium &#8220;M&#8221; Plus Flame Powered Extraction Device (Fall Colours),ACCESSORIES,,189.95,AUD,false,true,variable,images/titanium-m-plus-flame-powered-extraction-device-fall-colours-2.jpg,https://aussievapemart.com.au/product/titanium-m-plus-flame-powered-extraction-device-fall-colours-2/
9610,&#8220;M&#8221; Plus,ACCESSORIES,,134.95,AUD,false,true,simple,images/m-plus-2.jpg,https://aussievapemart.com.au/product/m-plus-2/
9609,The UniDyn by Dynavap (Flame powered extraction device),ACCESSORIES,,245,AUD,false,true,simple,images/the-unidyn-by-dynavap-flame-powered-extraction-device-2.jpg,https://aussievapemart.com.au/product/the-unidyn-by-dynavap-flame-powered-extraction-device-2/
9608,THE &#8220;B&#8221;,ACCESSORIES,,77,AUD,false,true,simple,images/the-b-2.png,https://aussievapemart.com.au/product/the-b-2/
9607,Nettle Leaf 25g,ACCESSORIES,,7.95,AUD,false,true,simple,images/nettle-leaf-25g-2.jpg,https://aussievapemart.com.au/product/nettle-leaf-25g-2/
9606,HydroBrick Flame Powered Extraction Device by Sticky Brick Labs,ACCESSORIES,,209.95,AUD,false,true,variable,images/hydrobrick-flame-powered-extraction-device-by-sticky-brick-labs-2.jpg,https://aussievapemart.com.au/product/hydrobrick-flame-powered-extraction-device-by-sticky-brick-labs-2/
9605,The New Flip Brick Flame Powered Extraction Device By Stick Brick Labs,ACCESSORIES,,154.95,AUD,false,true,variable,images/the-new-flip-brick-flame-powered-extraction-device-by-stick-brick-labs-2.jpg,https://aussievapemart.com.au/product/the-new-flip-brick-flame-powered-extraction-device-by-stick-brick-labs-2/
9604,OG Brick Flame Powered Extraction Device (Bubinga) By Sticky Brick Labs,ACCESSORIES,,304.95,AUD,false,true,simple,images/og-brick-flame-powered-extraction-device-bubinga-by-sticky-brick-labs-2.jpg,https://aussievapemart.com.au/product/og-brick-flame-powered-extraction-device-bubinga-by-sticky-brick-labs-2/
9603,OG Brick Flame Powered Extraction Device by Sticky Brick Labs,ACCESSORIES,,274.95,AUD,false,true,variable,images/og-brick-flame-powered-extraction-device-by-sticky-brick-labs-2.png,https://aussievapemart.com.au/product/og-brick-flame-powered-extraction-device-by-sticky-brick-labs-2/
9602,HydroBrick Maxx Flame Powered Extraction Device (Bubinga),ACCESSORIES,,319.95,AUD,false,true,simple,images/hydrobrick-maxx-flame-powered-extraction-device-bubinga-2.jpg,https://aussievapemart.com.au/product/hydrobrick-maxx-flame-powered-extraction-device-bubinga-2/
9601,HydroBrick Maxx Flame Powered Extraction Device by Sticky Brick Labs,ACCESSORIES,,308.95,AUD,false,true,variable,images/hydrobrick-maxx-flame-powered-extraction-device-by-sticky-brick-labs-2.jpg,https://aussievapemart.com.au/product/hydrobrick-maxx-flame-powered-extraction-device-by-sticky-brick-labs-2/
9600,Blurple Anodised XL Vortex &#038; Intercooler Plus Titanium Tip (P4),ACCESSORIES,,295,AUD,false,true,simple,images/blurple-anodised-xl-vortex-intercooler-plus-titanium-tip-p4-2.jpg,https://aussievapemart.com.au/product/blurple-anodised-xl-vortex-intercooler-plus-titanium-tip-p4-2/
9599,Green 2 Anodised XL Vortex &#038; Intercooler Plus Titanium Tip,ACCESSORIES,,295,AUD,false,true,simple,images/green-2-anodised-xl-vortex-intercooler-plus-titanium-tip-2.jpg,https://aussievapemart.com.au/product/green-2-anodised-xl-vortex-intercooler-plus-titanium-tip-2/
9597,Blurple/gold XL Vortex &#038; Intercooler Plus Titanium Tip,ACCESSORIES,,295,AUD,false,true,simple,images/blurple-gold-xl-vortex-intercooler-plus-titanium-tip-2.jpg,https://aussievapemart.com.au/product/blurple-gold-xl-vortex-intercooler-plus-titanium-tip-2/
9596,Storz &#038; Bickel XL Acrylic 3 pc Herb Grinder,ACCESSORIES,,17.95,AUD,false,true,simple,images/storz-bickel-xl-acrylic-3-pc-herb-grinder-2.jpg,https://aussievapemart.com.au/product/storz-bickel-xl-acrylic-3-pc-herb-grinder-2/
