name,price,supplier_url
"4.5&#8243; Two Tone Hand Pipe &#8211; Assorted Design",10.62,https://aussievapemart.com.au/product/4-5-two-tone-hand-pipe-assorted-design/
"8&#8243; Glass Bong with Leaf",34.89,https://aussievapemart.com.au/product/8-glass-bong-with-leaf/
"3.5&#8243; Full Color Metal Pipe with Cover &#8211; Assorted Colors",3.99,https://aussievapemart.com.au/product/3-5-full-color-metal-pipe-with-cover-assorted-colors/
"6.5&#8243;Silicone Bong w/ Glass Bowl",19.99,https://aussievapemart.com.au/product/6-5silicone-bong-w-glass-bowl/
"3&#8243; Metal pipe with Diamond Cuts &#8211; Assorted Colour",3.99,https://aussievapemart.com.au/product/3-metal-pipe-with-diamond-cuts-assorted-colour/
"3.5&#8243; Silicone Pipe w/ Glass Bowl Rainbow",6.99,https://aussievapemart.com.au/product/3-5-silicone-pipe-w-glass-bowl-rainbow/
"14mm 45 Degree Male Quartz Banger",9.98,https://aussievapemart.com.au/product/14mm-45-degree-male-quartz-banger/
"14mm 90 Degree Male Quartz Banger",9.98,https://aussievapemart.com.au/product/14mm-90-degree-male-quartz-banger/
"14mm Male Glass Bowl w/ Handle",7.99,https://aussievapemart.com.au/product/14mm-male-glass-bowl-w-handle/
"2.5&#8243; Fritz Glass Spoon Pipe &#8211; Assorted Design",5.99,https://aussievapemart.com.au/product/2-5-fritz-glass-spoon-pipe-assorted-design/
"Zeus Purify Cleaning Kit",28.99,https://aussievapemart.com.au/product/zeus-purify-cleaning-kit/
"ALIBARBAR INGOT 9000 PUFF – FANTA",44.95,https://aussievapemart.com.au/product/alibarbar-ingot-9000-puff-fanta/
"ALIBARBAR INGOT 9000 PUFF – DOUBLE APPLE",44.95,https://aussievapemart.com.au/product/alibarbar-ingot-9000-puff-double-apple/
"ALIBARBAR INGOT 9000 PUFF – GRAPE ICE",44.95,https://aussievapemart.com.au/product/alibarbar-ingot-9000-puff-grape-ice/
"ALIBARBAR INGOT 9000 PUFF – PINK LEMON",44.95,https://aussievapemart.com.au/product/alibarbar-ingot-9000-puff-pink-lemon/
"ALIBARBAR INGOT 9000 PUFF – MYSTERY BOX",44.95,https://aussievapemart.com.au/product/alibarbar-ingot-9000-puff-mystery-box/
"ALIBARBAR PANDORA 7000 PUFF – GRAPE ICE",42.95,https://aussievapemart.com.au/product/alibarbar-pandora-7000-puff-grape-ice/
"ALIBARBAR PANDORA 7000 PUFF – PINK LEMON",42.95,https://aussievapemart.com.au/product/alibarbar-pandora-7000-puff-pink-lemon/
"ALIBARBAR PANDORA 7000 PUFF – MANGO MAGIC",42.95,https://aussievapemart.com.au/product/alibarbar-pandora-7000-puff-mango-magic/
"ALIBARBAR PANDORA 7000 PUFF – KIWI PINEAPPLE",42.95,https://aussievapemart.com.au/product/alibarbar-pandora-7000-puff-kiwi-pineapple/
"ALIBARBAR PANDORA 7000 PUFF – PASSIONFRUIT MANGO LIME",42.95,https://aussievapemart.com.au/product/alibarbar-pandora-7000-puff-passionfruit-mango-lime/
"ALIBARBAR PANDORA 7000 PUFF – BLUEBERRY BLAST",42.95,https://aussievapemart.com.au/product/alibarbar-pandora-7000-puff-blueberry-blast/
"ALIBARBAR PANDORA 7000 PUFF – DOUBLE APPLE",42.95,https://aussievapemart.com.au/product/alibarbar-pandora-7000-puff-double-apple/
"ALIBARBAR INGOT 9000 PUFF – CHUPA CHUPS STRAWBERRY",44.95,https://aussievapemart.com.au/product/alibarbar-ingot-9000-puff-chupa-chups-strawberry/
"ALIBARBAR INGOT 9000 PUFF – SKITTLES",44.95,https://aussievapemart.com.au/product/alibarbar-ingot-9000-puff-skittles/
